;MODULO;ACCIONES;RESPUESTA;RECOMENDACIONES;ANEXOS;FORTALECIMIENTOS;Columna1
1. Actualizamos el menú transparencia y acceso a la información de manera mensual.Sí - Básico;Módulo 1: Transparencia y Acceso a la Información Ambiental;1. Actualizamos el menú transparencia y acceso a la información de manera mensual.;Sí - Básico;Creen un documento sencillo y claro (como una guía, procedimiento, instructivo o protocolo) que explique cómo se debe publicar y mantener actualizada la información ambiental de acuerdo con lo que establecen el artículo 9 de la Ley 1712 de 2014 y la Resolución 1519 de 2020.  ;VER ANEXO XX;"Protocolo estandar  para la Elaboración, Revisión y Actualización del Esquema de Publicación de Información Pública ambiental
Ley 1712 de 2014 
Resolución 1519";"Ley 1712 de 2014 
Resolución 1519"
1. Actualizamos el menú transparencia y acceso a la información de manera mensual.Sí - Intermedio;Módulo 1: Transparencia y Acceso a la Información Ambiental;1. Actualizamos el menú transparencia y acceso a la información de manera mensual.;Sí - Intermedio;Revisen y actualicen el esquema de publicación para asegurar que incluya la información ambiental actualizada y relevante. Además, definan un sistema práctico que permita revisar periódicamente la página web y activar alertas internas para identificar a tiempo cualquier dato desactualizado. ;VER ANEXO XX;;
1. Actualizamos el menú transparencia y acceso a la información de manera mensual.Sí - Avanzado;Módulo 1: Transparencia y Acceso a la Información Ambiental;1. Actualizamos el menú transparencia y acceso a la información de manera mensual.;Sí - Avanzado;"Verifiquen de forma periódica el cumplimiento de los requisitos establecidos en la Resolución 1519 de 2020 y continúen con el proceso de validación y actualización de la información ambiental publicada en la página web según su protocolo, guía, instructivo o procedimiento insitucional.
Además de mantener la información al día, incorporen mejoras que faciliten su comprensión y acceso, como el uso de lenguaje claro, formatos accesibles, y la traducción de contenidos relevantes a dialectos o lenguas propias del territorio, entre otras buenas prácticas. "; VER ANEXO XX;"Bases del lenguaje claro para la información ambientaL y formato accesibles
Como pido la traducción de contenidos a lenguas indigenas
Como pido adaptación para personas con discapacidad";Lenguaje claro para la información ambiental
1. Actualizamos el menú transparencia y acceso a la información de manera mensual.No;Módulo 1: Transparencia y Acceso a la Información Ambiental;1. Actualizamos el menú transparencia y acceso a la información de manera mensual.;No;¡ALERTA! La normatividad vigente relacionada con el acceso a la información pública e información ambiental (Ley 1712 de 2014, Resolución 1519 de 2020 y Acuerdo de Escazú) regulan derechos de acceso, por tanto son de obligatorio cumplimiento. Definan una ruta o plan de trabajo que permita avanzar en su cumplimiento de manera organizada.;;;
1. Actualizamos el menú transparencia y acceso a la información de manera mensual.No aplica;Módulo 1: Transparencia y Acceso a la Información Ambiental;1. Actualizamos el menú transparencia y acceso a la información de manera mensual.;No aplica;¡ALERTA! La normatividad vigente relacionada con el acceso a la información pública e información ambiental (Ley 1712 de 2014, Resolución 1519 de 2020 y Acuerdo de Escazú) regulan derechos de acceso, por tanto son de obligatorio cumplimiento.  Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad.;VER ANEXO XX;Modelo carta solicitud concepto juridico;
2. Actualizamos el menú participa de manera mensual.Sí - Básico;Módulo 1: Transparencia y Acceso a la Información Ambiental;2. Actualizamos el menú participa de manera mensual.;Sí - Básico;"Revisen los requisitos establecidos en la Resolución 1519 de 2020 para el menú ""Participa""y realicen los ajustes necesarios en la página web para asegurar su cumplimiento. Socialicen estos lineamientos con las áreas responsables respoonsables de promover la participación ciudadana y definan, de forma conjunta, criterios que garanticen la publicación oportuna y clara de la información ambiental relacionada.";(ver Anexo 2 Estandares-de-publicación) ;;
2. Actualizamos el menú participa de manera mensual.Sí - Intermedio;Módulo 1: Transparencia y Acceso a la Información Ambiental;2. Actualizamos el menú participa de manera mensual.;Sí - Intermedio;"Establezcan un sistema claro y práctico para la actualización de la información ambiental en el menú ""Participa"", a través de un protocolo, procedimiento o instructivo que defina cómo y cuándo las áreas responsables de promover la participación en su entidad, deben remitir la información correspondiente para su publicación. Aseguren la socialización de este sistema con los equipos involucrados y desarrollen espacios de capacitación para fortalecer su implementación.  ";VER ANEXO XX;protocolo, procedimiento o instructivo que defina cómo y cuándo l;
2. Actualizamos el menú participa de manera mensual.Sí - Avanzado;Módulo 1: Transparencia y Acceso a la Información Ambiental;2. Actualizamos el menú participa de manera mensual.;Sí - Avanzado;Continúen con la actualización periódica y oportuna de los espacios, actividades y contenidos que promueven la participación ciudadana ambiental, como convocatorias, espacios de diálogo, talleres e informes. Incorporen los resultados de estas actividades, la visibilización de compromisos asumidos, el seguimiento realizado, el uso de datos abiertos y la publicación de informes en lenguaje claro. Aseguren también mecanismos que permitan a la ciudadanía brindar retroalimentación sobre estos procesos.;;;
2. Actualizamos el menú participa de manera mensual.No;Módulo 1: Transparencia y Acceso a la Información Ambiental;2. Actualizamos el menú participa de manera mensual.;No;"¡ALERTA! La normatividad vigente exige actualizar de manera periódica y oportuna de los espacios, actividades y contenidos que promueven la participación ciudadana ambiental. Establezcan un cronograma de actualización mensual del menú ""Participa"", en cumplimiento del Decreto 1499 de 2017, la Resolución 1519 de 2020, los lineamientos de Gobierno Digital y el Acuerdo de Escazú. Aseguren que esta actualización impulse mecanismos efectivos de participación ciudadana.  ";VER ANEXO XX;"DECRETO 1499
Lineamientos gobierno digital
Protocolo estandar  para la Elaboración, Revisión y Actualización del Esquema de Publicación de Información Pública ambiental menu participa";
2. Actualizamos el menú participa de manera mensual.No aplica;Módulo 1: Transparencia y Acceso a la Información Ambiental;2. Actualizamos el menú participa de manera mensual.;No aplica;"¡ALERTA! La normatividad vigente relacionada con el acceso a la información para la participación ambiental (Decreto 1499 de 2017, la resolución 1519 de 2020, los lineamientos de Gobierno Digital y el Acuerdo de Escazú) obliga a tener lineamientos (protocolo, guía, instructivo, procedimiento, etc) en el que se establezca los pasos y responsabilidades para la actualización de la información ambiental del menú ""Participa"". Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad. ";VER ANEXO XX;;
